# This file contains a database of all the parameters recognized by the TURBOVAC pump.
# All data is copied from the pump manual, with some fixes to spelling, grammar and unclear wording.
# Fields are separated by a single space.
# Fields with internal spaces are enclosed in double quotes ("").
# An empty field is written as "".
# Quotes within a field are written using single quotes ('') and line breaks using \n.
# <-- This is a comment sign. Everything after it on a line is skipped.
# Lines containing only whitespace are skipped.
# The numbers of indexed parameters are written using the syntax "number[first_index:last_index]".
# The degree sign can be copy-pasted from here: °C

#No. Designation Min. Max. Default Unit r/w Format Description
1 "Device type" 0 65535 180 "" r/w u16 "180 = TURBOVAC 350/450 i\n181 = TURBOVAC 350/450 i with optional interface\n182 = TURBOVAC 350/450 iX\n190 = TURBOVAC 80/200 i\n191 = TURBOVAC 80/200 with optional interface\n192 = TURBOVAC 80/200 iX"
2 "Software version communication electronics x.yy.zz" 0 65535 10000 "" r u16 "x.yy: version, zz: correction index"
3 "Actual frequency" 0 65535 0 Hz r u16 "Actual rotor frequency"
4 "Actual intermediate circuit voltage" 0 1500 30 "0.1 V" r u16 ""
5 "Actual motor current" 0 150 0 "0.1 A" r u16 ""
6 "Actual drive input power" 0 65535 0 "0.1 W" r u16 ""
7 "Actual motor temperature" -10 150 0 °C r s16 ""
8 "Save data command" 0 65535 0 "" r/w u16 "A write command with any value saves temporary data into nonvolatile memory."
# Parameter 8 has the format s16 in the manual, but since the min and max values imply u16, that is used here.
11 "Actual converter temperature" -10 100 0 °C r s16 ""
16 "Motor temperature warning threshold" 0 150 80 °C r/w s16 "Exceeding the motor temperature warning threshold results in a warning."
17 "Nominal motor current" 3 120 50 "0.1 A" r/w u16 "Maximum permissible motor current"
18 "Nominal frequency" 500 2000 1000 Hz r/w u16 "Highest permissible frequency"
19 "Minimum nominal frequency" P20 2000 2000 Hz r/w u16 "Lowest permissible nominal frequency"
20 "Minimum frequency level" 0 2000 2000 Hz r/w u16 "When the pump is accelerating this frequency must be reached within the maximum passing time (P183). At the end of run-up: switch-off threshold at overload."
21 "Motor current threshold" 1 100 100 % r/w u16 "After attaining normal operation and when this threshold is exceeded a 'high load error' will occur after a certain period of time has elapsed."
23 "Pump type/rotor type" -32768 32767 10 0.1 r/w s16 "0 = TURBOVAC i/iX CL (classic)\n1 = TURBOVAC i/iX WR (wide-range)\n2 = TURBOVAC i/iX MI (multi-inlet)"
24 "Setpoint frequency" P19 P18 1000 Hz r/w u16 "Setpoint of the rotor frequency"
25 "Frequency dependent normal operation threshold" 35 99 90 % r/w u16 "Setpoint of the frequency dependent normal operation level"
26[0:2] "Lower temperature switching threshold (for TURBOVAC iX only)" 0 65535 25 °C r/w u16 "Defines the lower temperature switching threshold for the function output.\nX201: index 0 / X202: index 1 / X203: index 2"
27[0:2] "Upper current switching threshold (for TURBOVAC iX only)" 0 65535 40 "0.1 A" r/w u16 "Defines the upper current switching threshold for the function output.\nX201: index 0 / X202: index 1 / X203: index 2"
