# This file contains a database of all the warnings raised by the TURBOVAC pump.
# See parameters.txt for a description of the syntax used.

# P227_bit Designation Possible_cause Remedy
0 "Pump temperature 1 has passed the warning threshold." "Forevacuum pressure too high.\n\nGas flow too high.\n\nFan defective.\n\nWater cooling switched off." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.\n\nSeal leak, check process.\n\nReplace fan.\n\nSwitch on water cooling."
1 "Pump temperature 2 has passed the warning threshold." "Forevacuum pressure too high.\n\nGas flow too high.\n\nFan defective.\n\nWater cooling switched off." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.\n\nSeal leak, check process.\n\nReplace fan.\n\nSwitch on water cooling."
2 "Pump temperature 3 has passed the warning threshold." "Forevacuum pressure too high.\n\nGas flow too high.\n\nFan defective.\n\nWater cooling switched off." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.\n\nSeal leak, check process.\n\nReplace fan.\n\nSwitch on water cooling."
3 "The minimum permissible ambient temperature is not reached." "Ambient temperature too low.\n\nPump cooling too high." "Ensure min. ambient temperature of 5 °C.\n\nReduce water cooling."
6 "Overspeed warning. The actual value exceeds the setpoint by more than 10 Hz." "" "Consult Leybold service."
7 "Pump temperature 4 has passed the warning threshold." "Forevacuum pressure too high.\n\nGas flow too high.\n\nFan defective.\n\nWater cooling switched off." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.\n\nSeal leak, check process.\n\nReplace fan.\n\nSwitch on water cooling."
11 "Overload warning. The pump speed has dropped under the normal operation threshold." "Forevacuum pressure too high.\n\nGas flow too high." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.\n\nSeal leak, check process."
12 "Pump temperature 5 has passed the warning threshold." "Forevacuum pressure too high.\n\nGas flow too high.\n\nFan defective.\n\nWater cooling switched off." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.\n\nSeal leak, check process.\n\nReplace fan.\n\nSwitch on water cooling."
13 "Pump temperature 6 has passed the warning threshold." "Forevacuum pressure too high.\n\nGas flow too high.\n\nFan defective.\n\nWater cooling switched off." "Check the ultimate pressure of the backing pump and install a bigger backing pump if required.q\n\nSeal leak, check process.\n\nReplace fan.\n\nSwitch on water cooling."
14 "Power supply voltage warning. Supply voltage failure during active operation of the pump. P4 > Umax or P4 < Umin." "Intermediate circuit voltage too low.\n\nDC power supply voltage below 24 V or 48 V.\n\nMains voltage failure." ""
